Acamprosate,Alcohol Dependence
Acarbose, Diabetes Mellitus 
Acarbose,"Maturity-Onset Diabetes Of The Young, Type 1; Mody1"
Acarbose,"Maturity-Onset Diabetes Of The Young, Type 2; Mody2"
Acarbose,"Maturity-Onset Diabetes Of The Young, Type 3; Mody3"
Acebutolol,"Hypertension, Diastolic, Resistance To"
Acebutolol,"Renal Failure, Progressive, With Hypertension"
Acetaminophen,"Hyperthermia, Cutaneous, With Headaches And Nausea"
Acetaminophen,Insensitivity To Pain With Hyperplastic Myelinopathy
Acetaminophen,"Migraine With Or Without Aura, Susceptibility To, 1"
Acetaminophen,"Neuropathy, Hereditary Sensory And Autonomic, Type I, With Cough And Gastroesophageal Reflux"
Acetaminophen,Osteoarthritis Susceptibility 2; Os2
Acetazolamide,"Cholestasis, Intrahepatic, Of Pregnancy; Icp"
Acetazolamide,"Convulsive Disorder, Familial, With Prenatal Or Early Onset"
Acetazolamide,"Enteropathy, Familial, With Villous Edema And Immunoglobulin G2 Deficiency"
Acetazolamide,Hydrops-Ectopic Calcification-Moth-Eaten Skeletal Dysplasia
Acetazolamide,"Hyperphosphatemia, Polyuria, And Seizures"
Acetazolamide,Pseudotumor Cerebri
Acetohexamide, Diabetes Mellitus 
Acetohexamide,"Maturity-Onset Diabetes Of The Young, Type 1; Mody1"
Acetohexamide,"Maturity-Onset Diabetes Of The Young, Type 2; Mody2"
Acetohexamide,"Maturity-Onset Diabetes Of The Young, Type 3; Mody3"
Acetophenazine,Schizophrenia; Sczd
Aciclovir,Rodrigues Blindness
Adapalene,"Pyogenic Sterile Arthritis, Pyoderma Gangrenosum, And Acne"
Adenosine,Wolff-Parkinson-White Syndrome
Adenosine Monophosphate,Wolff-Parkinson-White Syndrome
Alclometasone,"Growth Retardation, Small And Puffy Hands And Feet, And Eczema"
Alendronate,Hajdu-Cheney Syndrome
Alendronate,Inclusion Body Myopathy With Early-Onset Paget Disease And Frontotemporal
Alendronate,Legg-Calve-Perthes Disease
Alendronate,Osteoporosis
Alendronate,Osteitis Deformans
Alfuzosin,Acanthosis Nigricans With Muscle Cramps And Acral Enlargement
Alfuzosin,Insensitivity To Pain With Hyperplastic Myelinopathy
Alfuzosin,Prostatic Hyperplasia
Aliskiren,"Hypertension, Diastolic, Resistance To"
Aliskiren,Essential Hypertension
Aliskiren,"Renal Failure, Progressive, With Hypertension"
Alitretinoin,"Sarcoma, Kaposi"
Allopurinol,Leishmaniasis
Allopurinol,"Nephrolithiasis, X-Linked Recessive, With Renal Failure; Xrn"
Almotriptan,"Migraine With Or Without Aura, Susceptibility To, 1"
Alosetron,Pelger-Huet-Like Anomaly And Episodic Fever With Abdominal Pain
Alprazolam,"Motor Neuropathy, Peripheral, With Dysautonomia"
Alprazolam,Panic Disorder 1; Pand1
Amantadine,Multiple Sclerosis
Amantadine,"Paralysis Agitans, Juvenile, Of Hunt"
Amantadine,Popliteal Pterygium Syndrome; Pps
Ambenonium,Myasthenia Gravis
Amifostine,Mismatch Repair Cancer Syndrome
Amiloride,Chylous Ascites
Amiloride,Hydrops-Ectopic Calcification-Moth-Eaten Skeletal Dysplasia
Amiloride,"Hypertension, Diastolic, Resistance To"
Amiloride,"Renal Failure, Progressive, With Hypertension"
Aminoglutethimide,Rodrigues Blindness
Aminophylline,"Asthma, Nasal Polyps, And Aspirin Intolerance"
Aminophylline,Asthma
Aminophylline,"Berry Aneurysm, Cirrhosis, Pulmonary Emphysema, And Cerebral Calcification"
Amiodarone,"Arrhythmias, Cardiac"
Amitriptyline,Hyperhidrosis Palmaris Et Plantaris
Amitriptyline,Insensitivity To Pain With Hyperplastic Myelinopathy
Amitriptyline,"Motor Neuropathy, Peripheral, With Dysautonomia"
Amlodipine,CADASIL
Amlodipine,"Coronary Artery Disease, Autosomal Dominant, 1; Adcad1"
Amlodipine,"Hypertension, Diastolic, Resistance To"
Amlodipine,Essential Hypertension
Amlodipine,Raynaud Disease
Amlodipine,"Renal Failure, Progressive, With Hypertension"
Amobarbital,"Convulsive Disorder, Familial, With Prenatal Or Early Onset"
Amobarbital,"Hyperphosphatemia, Polyuria, And Seizures"
Amphetamine,Attention Deficit Disorder with Hyperactivity
